IMAGE,MOS,psnr,ssim,ms_ssim,fsim,vif,pieapp,lpips,topiq_fr,dists,wadiqam_fr,ckdn_imagenet,ahiq,ckdn,cw_ssim,deepdc,gmsd,mad,nlpd,psnry,stlpips,vsi,dmm,ckdn_fixed,ckdn_p0,ckdn_p1
IMG_01_AWGN_1,71.7215491472184,38.941048,0.999138804492134,0.999888530420356,0.9996003,0.982192,0.08689822,0.0015427673,0.9107448,0.006315291,0.0043159374,0.95412415,0.5959899,0.53855556,0.999989478168574,0.00032883883,0.00039934422,0,0.02040319,42.445198,0.00020388066,0.999785521924804,0.0017752957,0.9991646,0.9463304,0.884105
IMG_01_AWGN_2,62.6081125319264,26.922647,0.988443494317913,0.998473242828817,0.9939378,0.8389051,0.36909026,0.034238555,0.88396436,0.06470215,-0.0032702757,0.9323371,0.5722479,0.52979296,0.999853286485288,0.022958457,0.004970936,8.05643419002005,0.080889076,30.43625,0.012133464,0.996792125761341,0.084684625,0.9838071,0.91537076,0.83721
IMG_01_AWGN_3,38.0785792499555,20.965681,0.957569341478682,0.994036812130338,0.97832805,0.65303767,0.76785105,0.15665966,0.7222777,0.15109164,-0.02460438,0.7752305,0.4406701,0.51609397,0.999313161637095,0.08957487,0.016965602,59.4402905818054,0.15849663,24.48528,0.09490035,0.988166324633063,0.6166161,0.53380597,0.78750306,0.59416586
IMG_01_AWGN_4,24.7468840627235,15.253111,0.862169757201398,0.976603772891101,0.9356632,0.43515465,1.8523046,0.40011322,0.42280233,0.29992187,-0.07099599,0.41751447,0.25035653,0.48888606,0.995185224145546,0.23110324,0.050393205,119.661415271564,0.30293405,18.797804,0.3131608,0.96203158980892,2.3246398,0.10614891,0.4229346,0.17172232
IMG_01_AWGN_5,11.7950565244736,11.480962,0.709360688583391,0.925980486525596,0.87847406,0.284138,3.442907,0.59380907,0.32000148,0.41489154,-0.10654882,0.09459578,0.14477223,0.44532838,0.967990289810344,0.40290666,0.09568785,160.40143881112,0.48565826,15.028306,0.4407472,0.931031156707021,6.284502,0.00079865236,0.1338394,0.00019408505
IMG_01_AWGN_6,6.35277844750639,10.012402,0.612985264515125,0.864368815018037,0.8301768,0.22160482,4.536006,0.697202,0.28776717,0.48334324,-0.11003208,0.0140281655,0.095174864,0.38374844,0.918125338325289,0.5115855,0.12293902,178.871580243343,0.60287225,13.510605,0.48603725,0.904704055133641,10.799482,1.2844024e-05,0.11230656,1.9239803e-07
IMG_02_AWGN_1,62.6723071930305,38.93258,0.994710220898704,0.999275699390804,0.99942344,0.97694796,0.105525166,0.0018094598,0.92689353,0.00452888,0.006334069,0.96133506,0.66145194,0.5062917,0.999895928523054,0.00043946505,0.0008963361,2.65929309066653,0.028860748,42.438957,0.002725258,0.999725205983759,0.002600762,0.9978186,0.9489614,0.9229354
IMG_02_AWGN_2,54.0191309499959,26.901741,0.93479015380062,0.990450026614663,0.9912054,0.79935116,0.52693903,0.04017689,0.80946785,0.074846625,-0.0041824,0.9012024,0.50062007,0.49400634,0.998361263939614,0.018896103,0.011130955,82.322262637213,0.11191913,30.403194,0.16016906,0.995794140361901,0.09708554,0.95850265,0.87212086,0.7182306
IMG_02_AWGN_3,35.5059569855647,20.901384,0.799735518336883,0.965807222051642,0.9680012,0.5799338,1.2821176,0.15500498,0.54280937,0.18060142,-0.032622844,0.6429181,0.333678,0.47500113,0.993534134173557,0.086393416,0.03562051,139.66028223263,0.211313,24.408503,0.43927044,0.983682529781261,0.63057643,0.50888544,0.70918363,0.5378719
IMG_02_AWGN_4,13.3167094450342,14.961729,0.553698497111837,0.892825834856154,0.89819896,0.35059947,3.1584632,0.39464143,0.3883254,0.34237528,-0.09309882,0.30653113,0.14234313,0.44484076,0.976317149817808,0.25752485,0.09683884,192.90734333114,0.3754607,18.4895,0.6742362,0.94341658550672,4.619233,0.08731586,0.31024244,0.34422204
